ISO2;country_name;Speech_title;URL_text;URL_link;Date_m;speech_stance
NZ;New Zealand;Geoff Bascand: Banking the economy in post-COVID Aotearoa;https://www.bis.org/review/r200918b.htm;https://www.bis.org/review/r200918b.htm;01/09/2020;-1
ES;Spain;Pablo Hernández de Cos: How central banks can use digitalisation to better serve the public - the case of payments;https://www.bis.org/review/r200925d.htm;https://www.bis.org/review/r200925d.htm;01/09/2020;0
DE;Germany;Jens Weidmann: Welcome address for Christine Lagarde;https://www.bis.org/review/r200925b.htm;https://www.bis.org/review/r200925b.htm;01/09/2020;1
PH;Philippines;Benjamin E Diokno: Digitization developments and initiatives;https://www.bis.org/review/r201005b.htm;https://www.bis.org/review/r201005b.htm;01/10/2020;1
FR;France;François Villeroy de Galhau: Brexit, digital payments, seize the day;https://www.bis.org/review/r201008g.htm;https://www.bis.org/review/r201008g.htm;01/10/2020;1
FR;France;François Villeroy de Galhau: Brexit, digital payments, seize the day;https://www.bis.org/review/r201008g.htm;https://www.bis.org/review/r201008g.htm;01/10/2020;1
CL;Chile;Mario Marcel: Chile's September 2020 Monetary Policy Report;https://www.bis.org/review/r201009a.htm;https://www.bis.org/review/r201009a.htm;01/10/2020;0
EA;Euro Area;Fabio Panetta: A digital euro for the digital era;https://www.bis.org/review/r201013a.htm;https://www.bis.org/review/r201013a.htm;01/10/2020;0
FR;France;François Villeroy de Galhau: The digital payment revolution;https://www.bis.org/review/r201013b.htm;https://www.bis.org/review/r201013b.htm;01/10/2020;1
FR;France;François Villeroy de Galhau: The digital payment revolution;https://www.bis.org/review/r201013b.htm;https://www.bis.org/review/r201013b.htm;01/10/2020;1
GB;United Kingdom;Victoria Cleland: Cross-border payments - innovating in a changing world;https://www.bis.org/review/r201015a.htm;https://www.bis.org/review/r201015a.htm;01/10/2020;0
NZ;New Zealand;"Christian Hawkesby: Working together to be ""on the money""";https://www.bis.org/review/r201019g.htm;https://www.bis.org/review/r201019g.htm;01/10/2020;-1
FR;France;Denis Beau: For a contribution from our FinTech ecosystem to a more efficient and stable financial system;https://www.bis.org/review/r201019k.htm;https://www.bis.org/review/r201019k.htm;01/10/2020;1
DE;Germany;Burkhard Balz: Digital currencies, global currencies;https://www.bis.org/review/r201020g.htm;https://www.bis.org/review/r201020g.htm;01/10/2020;0
EA;Euro Area;Fabio Panetta: On the edge of a new frontier - European payments in the digital age;https://www.bis.org/review/r201022f.htm;https://www.bis.org/review/r201022f.htm;01/10/2020;0
DE;Germany;Burkhard Balz: COVID-19 and cashless payments - has coronavirus changed Europeans' love of cash?;https://www.bis.org/review/r201022h.htm;https://www.bis.org/review/r201022h.htm;01/10/2020;0
EA;Euro Area;Yves Mersch: Legal aspects of the European Central Bank's response to the coronavirus (COVID-19) pandemic - an exclusive but narrow competence;https://www.bis.org/review/r201103a.htm;https://www.bis.org/review/r201103a.htm;01/11/2020;0
HK;Hong Kong SAR;Eddie Yue: What's next in our fintech journey;https://www.bis.org/review/r201103c.htm;https://www.bis.org/review/r201103c.htm;01/11/2020;1
EA;Euro Area;Fabio Panetta: The two sides of the (stable)coin;https://www.bis.org/review/r201104b.htm;https://www.bis.org/review/r201104b.htm;01/11/2020;0
CH;Switzerland;Andréa M Maechler: Monetary policy implementation - how to steer interest rates in negative territory;https://www.bis.org/review/r201106g.htm;https://www.bis.org/review/r201106g.htm;01/11/2020;1
NO;Norway;Ida Wolden Bache: Central bank digital currency and real-time payments;https://www.bis.org/review/r201106i.htm;https://www.bis.org/review/r201106i.htm;01/11/2020;-1
GB;United Kingdom;Andrew G Haldane: Seizing the opportunities from digital finance;https://www.bis.org/review/r201118g.htm;https://www.bis.org/review/r201118g.htm;01/11/2020;0
JP;Japan;Takako Masai: Economic activity, prices and monetary policy in Japan;https://www.bis.org/review/r201119h.htm;https://www.bis.org/review/r201119h.htm;01/11/2020;0
CA;Canada;Carolyn Wilkins: Exploring life after COVID-19 - the far side of the moon;https://www.bis.org/review/r201119f.htm;https://www.bis.org/review/r201119f.htm;01/11/2020;1
IT;Italy;Ignazio Visco: The role of TIPS for the future payments landscape;https://www.bis.org/review/r201130c.htm;https://www.bis.org/review/r201130c.htm;01/11/2020;0
DE;Germany;Jens Weidmann:  Shaping the future – challenges in the European payments market;https://www.bis.org/review/r201201e.htm;https://www.bis.org/review/r201201e.htm;01/11/2020;1
EA;Euro Area;Fabio Panetta: From the payments revolution to the reinvention of money;https://www.bis.org/review/r201201b.htm;https://www.bis.org/review/r201201b.htm;01/11/2020;1
IT;Italy;Alessandra Perrazzelli: Digitalisation and financial services innovation in the Italian G20 Presidency Agenda;https://www.bis.org/review/r201208b.htm;https://www.bis.org/review/r201208b.htm;01/12/2020;1
FR;France;François Villeroy de Galhau: The Pig, the frog and the elephant - towards a better regulation of digital innovation;https://www.bis.org/review/r201210j.htm;https://www.bis.org/review/r201210j.htm;01/12/2020;1
FR;France;Denis Beau: Innovations in the financial sector and central banks' contributions;https://www.bis.org/review/r201211b.htm;https://www.bis.org/review/r201211b.htm;01/12/2020;1
